25.2 25.2 0 16.80 0 0
0 0 0 0.00 8 0
55 34.2 0 29.73 0 0
73 105 65 81.00 93.4 48
15 45 0 20.00 26 0
55 27 0 27.33 0 0
35 36 0 23.67 35 0
70 9 0 26.33 0 0
35 0 0 11.67 28 0
100 82.8 65 82.60 87 72
80 34 53 55.67 77 60
50 52.2 25 42.40 74.3 56
10 0 0 3.33 18 0
45 46.8 47 46.27 72 28
45 109 44 66.00 72 48
90 66.6 85 80.53 96.4 52
50 37.8 0 29.27 71 0
95 100 79 91.33 92.4 52
90 61.2 20 57.07 40 56
20 0 0 6.67 0 0
40 0 0 13.33 0 0
50 0 0 16.67 0 0
65 73.8 52 63.60 81.6 32
50 50.4 25 41.80 68 28
50 0 0 16.67 0 0
25 54 0 26.33 30 0
45 77.4 0 40.80 0 0
75 70.2 44 63.07 75 56
90 97.2 55 80.73 90.4 36
80 66.6 50 65.53 91.8 44
35 0 0 11.67 0 0
70 25.2 39 44.73 98 44
55 68.4 73 65.47 84 68
90 109 96 98.33 86 72
20 0 0 6.67 0 0
95 25.2 0 40.07 42 0
60 120 85 88.33 94.2 60
65 52.2 42 53.07 85 60
45 50.4 0 31.80 0 0
100 120 60 93.33 95.2 64
35 43.2 15 31.07 68 36
70 54 29 51.00 20 44
80 82.8 63 75.27 55 64
95 100 65 86.67 95 56
88 52.2 51 63.73 93 40
50 88.2 37 58.40 34 24
45 103 35 61.00 88.6 68
70 110 78 86.00 73 60
55 75.6 27 52.53 90 40
20 0 0 6.67 0 0
60 43.2 0 34.40 0 0
60 57.6 72 63.20 86 60
60 54 33 49.00 86 32
50 0 0 16.67 14 0
100 61.2 70 77.07 72 60
70 52.2 0 40.73 0 0
70 25.2 25 40.07 41.6 0
25 0 0 8.33 43 0
55 36 0 30.33 0 0
35 75.6 0 36.87 42 40
30 50.4 34 38.13 53 44
52.5 114 40 68.83 84 64
80 79.2 65 74.73 86.6 52
90 36 49 58.33 75.8 72
40 73.8 54 55.93 83.4 48
10 0 0 3.33 28 0
80 48.6 49 59.20 91.6 44
65 91.8 22 59.60 89.2 44
55 68.4 40 54.47 14 44
85 52.2 50 62.40 92.2 80
65 70.2 34 56.40 87.6 52
60 100 45 68.33 84 60
45 27 25 32.33 47.6 48
65 41.4 0 35.47 22 0
87 82.8 53 74.27 93.2 48
100 99 72 90.33 85 60
55 34.2 0 29.73 48 0
50 61.2 54 55.07 62.4 44
80 70.2 61 70.40 97 52
90 82.8 40 70.93 76 40
80 103 41 74.67 84 60
65 70.2 60 65.07 90 52
60 43.2 59 54.07 79.2 44
50 77.4 55 60.80 72 52
45 114 61 73.33 38 56
45 0 0 15.00 14 0
60 52.2 47 53.07 87.6 40
30 31 0 20.33 38 0
75 55.8 30 53.60 74 28
40 91.8 60 63.93 44 52
35 61.2 35 43.73 87.6 52
     
